"","binID","start","cata","aRead","bRead","aNorm","bNorm"
"4277","chrY_2073800"," 2073700",2,0,4,0,19.047619
"364","chrY_2073800"," 2073700",1,4,4,16.6666667,19.047619
"10872","chrY_2073900"," 2073800",3,17,13,100,100
"10873","chrY_2075800"," 2075700",3,25,27,49.0196078,69.2307692
"4278","chrY_2075800"," 2075700",2,26,12,50.9803922,30.7692308
"10874","chrY_2076000"," 2075900",3,23,47,76.6666667,88.6792453
"4279","chrY_2076000"," 2075900",2,4,5,13.3333333,9.4339623
"365","chrY_2076000"," 2075900",1,3,1,10,1.8867925
"10875","chrY_2076400"," 2076300",3,18,23,54.5454545,56.097561
"4280","chrY_2076400"," 2076300",2,12,16,36.3636364,39.0243903
"366","chrY_2076400"," 2076300",1,3,2,9.0909091,4.8780488
"10876","chrY_2078000"," 2077900",3,26,30,81.25,76.9230769
"4281","chrY_2078000"," 2077900",2,4,4,12.5,10.2564103
"367","chrY_2078000"," 2077900",1,2,5,6.25,12.8205128
"10877","chrY_2078100"," 2078000",3,12,21,57.1428571,58.3333333
"4282","chrY_2078100"," 2078000",2,9,15,42.8571429,41.6666667
"10878","chrY_2078300"," 2078200",3,10,31,62.5,91.1764706
"4283","chrY_2078300"," 2078200",2,6,3,37.5,8.8235294
"10879","chrY_2078400"," 2078300",3,31,49,70.4545455,85.9649123
"4284","chrY_2078400"," 2078300",2,13,8,29.5454545,14.0350877
"10880","chrY_2078500"," 2078400",3,14,31,53.8461538,75.6097561
"4285","chrY_2078500"," 2078400",2,12,10,46.1538461,24.3902439
"10881","chrY_2079000"," 2078900",3,7,8,53.8461538,47.0588235
"4286","chrY_2079000"," 2078900",2,6,9,46.1538462,52.9411765
"10882","chrY_2082400"," 2082300",3,25,25,52.0833333,39.6825397
"4287","chrY_2082400"," 2082300",2,14,20,29.1666667,31.7460318
"368","chrY_2082400"," 2082300",1,9,18,18.75,28.5714286
"10883","chrY_2083700"," 2083600",3,10,14,55.5555556,60.8695652
"4288","chrY_2083700"," 2083600",2,4,7,22.2222223,30.4347826
"369","chrY_2083700"," 2083600",1,4,2,22.2222222,8.6956522
"10884","chrY_2085000"," 2084900",3,16,30,72.7272727,66.6666667
"4289","chrY_2085000"," 2084900",2,6,15,27.2727272,33.3333333
"10885","chrY_2088300"," 2088200",3,49,45,100,90
"370","chrY_2088300"," 2088200",1,0,5,0,10
"10886","chrY_2090700"," 2090600",3,38,46,65.5172414,70.7692308
"4290","chrY_2090700"," 2090600",2,12,10,20.6896551,15.3846154
"371","chrY_2090700"," 2090600",1,8,9,13.7931034,13.8461538
"10887","chrY_2094900"," 2094800",3,2,6,7.6923077,14.6341463
"4291","chrY_2094900"," 2094800",2,11,21,42.3076923,51.2195122
"372","chrY_2094900"," 2094800",1,13,14,50,34.1463415
"10888","chrY_2095300"," 2095200",3,10,8,100,100
"10889","chrY_2095400"," 2095300",3,11,12,61.1111111,75
"4292","chrY_2095400"," 2095300",2,4,0,22.2222222,0
"373","chrY_2095400"," 2095300",1,3,4,16.6666667,25
"10890","chrY_2100800"," 2100700",3,34,59,65.3846154,75.6410256
"4293","chrY_2100800"," 2100700",2,15,18,28.8461539,23.0769231
"374","chrY_2100800"," 2100700",1,3,1,5.7692308,1.2820513
"10891","chrY_2101900"," 2101800",3,44,71,73.3333333,85.5421687
"4294","chrY_2101900"," 2101800",2,12,10,20,12.0481928
"375","chrY_2101900"," 2101800",1,4,2,6.6666667,2.4096386
"10892","chrY_2106400"," 2106300",3,37,34,100,100
"10893","chrY_2108800"," 2108700",3,20,13,64.516129,54.1666667
"4295","chrY_2108800"," 2108700",2,7,11,22.5806452,45.8333334
"376","chrY_2108800"," 2108700",1,4,0,12.9032258,0
"10894","chrY_2112100"," 2112000",3,6,11,37.5,50
"4296","chrY_2112100"," 2112000",2,7,9,43.75,40.9090909
"377","chrY_2112100"," 2112000",1,3,2,18.75,9.0909091
"10895","chrY_2119100"," 2119000",3,39,26,65,40.625
"4297","chrY_2119100"," 2119000",2,15,28,25,43.75
"378","chrY_2119100"," 2119000",1,6,10,10,15.625
"10896","chrY_2128800"," 2128700",3,23,22,51.1111111,44.8979592
"4298","chrY_2128800"," 2128700",2,17,17,37.7777778,34.6938775
"379","chrY_2128800"," 2128700",1,5,10,11.1111111,20.4081633
"10897","chrY_2145100"," 2145000",3,23,35,56.097561,60.3448276
"4299","chrY_2145100"," 2145000",2,15,17,36.5853658,29.3103448
"380","chrY_2145100"," 2145000",1,3,6,7.3170732,10.3448276
"10898","chrY_2145400"," 2145300",3,46,67,80.7017544,76.1363636
"4300","chrY_2145400"," 2145300",2,8,16,14.0350877,18.1818182
"381","chrY_2145400"," 2145300",1,3,5,5.2631579,5.6818182
"10899","chrY_2146100"," 2146000",3,9,12,52.9411765,66.6666667
"4301","chrY_2146100"," 2146000",2,8,6,47.0588235,33.3333333
"10900","chrY_2150500"," 2150400",3,10,10,100,100
"10901","chrY_2157200"," 2157100",3,16,31,64,65.9574468
"4302","chrY_2157200"," 2157100",2,9,16,36,34.0425532
"10902","chrY_2157900"," 2157800",3,26,32,41.9354839,48.4848485
"4303","chrY_2157900"," 2157800",2,19,23,30.6451613,34.8484849
"382","chrY_2157900"," 2157800",1,17,11,27.4193548,16.6666667
"10903","chrY_2160900"," 2160800",3,18,39,78.2608696,82.9787234
"4304","chrY_2160900"," 2160800",2,5,8,21.7391305,17.0212766
"10904","chrY_2161100"," 2161000",3,12,16,36.3636364,61.5384615
"4305","chrY_2161100"," 2161000",2,21,10,63.6363636,38.4615385
"10905","chrY_2161700"," 2161600",3,18,20,72,74.0740741
"4306","chrY_2161700"," 2161600",2,7,7,28,25.9259259
"10906","chrY_2163500"," 2163400",3,7,20,41.1764706,74.0740741
"4307","chrY_2163500"," 2163400",2,5,3,29.4117647,11.1111111
"383","chrY_2163500"," 2163400",1,5,4,29.4117647,14.8148148
"10907","chrY_2163900"," 2163800",3,11,10,23.9130435,15.3846154
"4308","chrY_2163900"," 2163800",2,14,31,30.4347826,47.6923077
"384","chrY_2163900"," 2163800",1,21,24,45.6521739,36.9230769
"10908","chrY_2164700"," 2164600",3,7,15,31.8181818,53.5714286
"4309","chrY_2164700"," 2164600",2,9,9,40.9090909,32.1428572
"385","chrY_2164700"," 2164600",1,6,4,27.2727273,14.2857142
"10909","chrY_2165400"," 2165300",3,46,47,86.7924528,58.75
"4310","chrY_2165400"," 2165300",2,6,27,11.3207547,33.75
"386","chrY_2165400"," 2165300",1,1,6,1.8867925,7.5
"10910","chrY_2169900"," 2169800",3,50,60,76.9230769,80
"4311","chrY_2169900"," 2169800",2,9,9,13.8461538,12
"387","chrY_2169900"," 2169800",1,6,6,9.2307692,8
"10911","chrY_2172700"," 2172600",3,53,43,75.7142857,86
"4312","chrY_2172700"," 2172600",2,13,5,18.5714286,10
"388","chrY_2172700"," 2172600",1,4,2,5.7142857,4
"10912","chrY_2178200"," 2178100",3,28,17,70,53.125
"4313","chrY_2178200"," 2178100",2,8,12,20,37.5
"389","chrY_2178200"," 2178100",1,4,3,10,9.375
"10913","chrY_2182700"," 2182600",3,3,6,50,54.5454545
"4314","chrY_2182700"," 2182600",2,1,3,16.6666667,27.2727273
"390","chrY_2182700"," 2182600",1,2,2,33.3333333,18.1818182
"10914","chrY_2186100"," 2186000",3,15,21,68.1818182,61.7647059
"4315","chrY_2186100"," 2186000",2,5,6,22.7272727,17.6470588
"391","chrY_2186100"," 2186000",1,2,7,9.0909091,20.5882353
"10915","chrY_2188600"," 2188500",3,61,91,100,100
"10916","chrY_2189000"," 2188900",3,60,47,75.9493671,58.0246914
"4316","chrY_2189000"," 2188900",2,12,27,15.1898734,33.3333333
"392","chrY_2189000"," 2188900",1,7,7,8.8607595,8.6419753
"10917","chrY_2192300"," 2192200",3,7,13,38.8888889,50
"4317","chrY_2192300"," 2192200",2,6,6,33.3333334,23.0769231
"393","chrY_2192300"," 2192200",1,5,7,27.7777778,26.9230769
"10918","chrY_2192400"," 2192300",3,19,20,100,100
"10919","chrY_2192900"," 2192800",3,49,77,67.1232877,68.1415929
"4318","chrY_2192900"," 2192800",2,9,24,12.3287671,21.238938
"394","chrY_2192900"," 2192800",1,15,12,20.5479452,10.619469
"10920","chrY_2197100"," 2197000",3,2,5,18.1818182,45.4545455
"4319","chrY_2197100"," 2197000",2,9,6,81.8181818,54.5454545
"10921","chrY_2197500"," 2197400",3,15,23,88.2352941,82.1428571
"395","chrY_2197500"," 2197400",1,2,5,11.7647059,17.8571429
"10922","chrY_2201100"," 2201000",3,6,7,54.5454545,41.1764706
"4320","chrY_2201100"," 2201000",2,3,6,27.2727273,35.2941176
"396","chrY_2201100"," 2201000",1,2,4,18.1818182,23.5294118
"10923","chrY_2204400"," 2204300",3,14,8,100,100
"10924","chrY_2204500"," 2204400",3,43,42,72.8813559,68.852459
"4321","chrY_2204500"," 2204400",2,11,11,18.6440678,18.0327868
"397","chrY_2204500"," 2204400",1,5,8,8.4745763,13.1147541
"10925","chrY_2205700"," 2205600",3,13,20,92.8571429,66.6666667
"4322","chrY_2205700"," 2205600",2,1,10,7.1428571,33.3333333
"10926","chrY_2206500"," 2206400",3,9,25,30,53.1914894
"4323","chrY_2206500"," 2206400",2,15,15,50,31.9148936
"398","chrY_2206500"," 2206400",1,6,7,20,14.893617
"10927","chrY_2206600"," 2206500",3,11,11,52.3809524,64.7058824
"4324","chrY_2206600"," 2206500",2,7,3,33.3333333,17.6470588
"399","chrY_2206600"," 2206500",1,3,3,14.2857143,17.6470588
"10928","chrY_2206900"," 2206800",3,8,18,53.3333333,85.7142857
"400","chrY_2206900"," 2206800",1,7,3,46.6666667,14.2857143
"10929","chrY_2207000"," 2206900",3,20,26,60.6060606,50
"4325","chrY_2207000"," 2206900",2,10,19,30.3030303,36.5384616
"401","chrY_2207000"," 2206900",1,3,7,9.0909091,13.4615385
"10930","chrY_2207400"," 2207300",3,20,21,86.9565217,72.4137931
"4326","chrY_2207400"," 2207300",2,3,3,13.0434783,10.3448276
"402","chrY_2207400"," 2207300",1,0,5,0,17.2413793
"10931","chrY_2208200"," 2208100",3,2,6,25,54.5454545
"4327","chrY_2208200"," 2208100",2,6,5,75,45.4545455
"10932","chrY_2208300"," 2208200",3,31,24,100.0000001,100
"10933","chrY_2208400"," 2208300",3,12,19,100,100.0000001
"10934","chrY_2208500"," 2208400",3,30,59,85.7142857,95.1612903
"4328","chrY_2208500"," 2208400",2,5,3,14.2857143,4.8387097
"10935","chrY_2210400"," 2210300",3,31,32,53.4482759,53.3333333
"4329","chrY_2210400"," 2210300",2,21,21,36.2068966,35
"403","chrY_2210400"," 2210300",1,6,7,10.3448276,11.6666667
"10936","chrY_2223300"," 2223200",3,35,27,57.3770492,43.5483871
"4330","chrY_2223300"," 2223200",2,17,26,27.8688525,41.9354839
"404","chrY_2223300"," 2223200",1,9,9,14.7540984,14.516129
"10937","chrY_2223600"," 2223500",3,19,27,54.2857143,52.9411765
"4331","chrY_2223600"," 2223500",2,14,17,40,33.3333333
"405","chrY_2223600"," 2223500",1,2,7,5.7142857,13.7254902
"10938","chrY_2223900"," 2223800",3,33,42,62.2641509,53.8461538
"4332","chrY_2223900"," 2223800",2,12,21,22.6415095,26.9230769
"406","chrY_2223900"," 2223800",1,8,15,15.0943396,19.2307692
"10939","chrY_2226400"," 2226300",3,41,54,67.2131148,77.1428571
"4333","chrY_2226400"," 2226300",2,11,11,18.0327868,15.7142857
"407","chrY_2226400"," 2226300",1,9,5,14.7540984,7.1428571
"10940","chrY_2232100"," 2232000",3,19,14,57.5757576,56
"4334","chrY_2232100"," 2232000",2,12,8,36.3636364,32
"408","chrY_2232100"," 2232000",1,2,3,6.0606061,12
"10941","chrY_2232700"," 2232600",3,16,19,47.0588235,70.3703704
"4335","chrY_2232700"," 2232600",2,18,8,52.9411765,29.6296296
"10942","chrY_2235400"," 2235300",3,20,27,55.5555556,67.5
"4336","chrY_2235400"," 2235300",2,16,13,44.4444444,32.5
"10943","chrY_2236400"," 2236300",3,11,12,47.826087,41.3793103
"4337","chrY_2236400"," 2236300",2,9,14,39.1304348,48.2758621
"409","chrY_2236400"," 2236300",1,3,3,13.0434783,10.3448276
"10944","chrY_2242900"," 2242800",3,37,46,51.3888889,57.5
"4338","chrY_2242900"," 2242800",2,26,23,36.1111112,28.75
"410","chrY_2242900"," 2242800",1,9,11,12.5,13.75
"10945","chrY_2243400"," 2243300",3,18,25,37.5,36.7647059
"4339","chrY_2243400"," 2243300",2,26,38,54.1666667,55.8823529
"411","chrY_2243400"," 2243300",1,4,5,8.3333333,7.3529412
"10946","chrY_2244300"," 2244200",3,7,8,53.8461538,66.6666667
"4340","chrY_2244300"," 2244200",2,6,4,46.1538462,33.3333333
"10947","chrY_2244700"," 2244600",3,24,18,68.5714286,66.6666667
"4341","chrY_2244700"," 2244600",2,11,9,31.4285715,33.3333333
"10948","chrY_2245800"," 2245700",3,39,41,73.5849057,62.1212121
"4342","chrY_2245800"," 2245700",2,4,11,7.5471698,16.6666667
"412","chrY_2245800"," 2245700",1,10,14,18.8679245,21.2121212
"10949","chrY_2247000"," 2246900",3,9,7,100,100
"10950","chrY_2248800"," 2248700",3,8,5,42.1052632,27.7777778
"4343","chrY_2248800"," 2248700",2,7,12,36.8421053,66.6666667
"413","chrY_2248800"," 2248700",1,4,1,21.0526316,5.5555556
"10951","chrY_2249700"," 2249600",3,22,28,100,100
"10952","chrY_2253600"," 2253500",3,12,9,35.2941176,21.4285714
"4344","chrY_2253600"," 2253500",2,17,26,50,61.9047619
"414","chrY_2253600"," 2253500",1,5,7,14.7058824,16.6666667
"10953","chrY_2253800"," 2253700",3,33,58,67.3469388,80.5555556
"4345","chrY_2253800"," 2253700",2,10,9,20.4081633,12.5
"415","chrY_2253800"," 2253700",1,6,5,12.244898,6.9444444
"10954","chrY_2254200"," 2254100",3,33,53,64.7058824,58.2417582
"4346","chrY_2254200"," 2254100",2,16,34,31.372549,37.3626374
"416","chrY_2254200"," 2254100",1,2,4,3.9215686,4.3956044
"10955","chrY_2258600"," 2258500",3,18,43,33.9622642,55.8441558
"4347","chrY_2258600"," 2258500",2,30,22,56.6037736,28.5714286
"417","chrY_2258600"," 2258500",1,5,12,9.4339623,15.5844156
"10956","chrY_2262200"," 2262100",3,28,24,44.4444444,35.2941176
"4348","chrY_2262200"," 2262100",2,20,26,31.7460317,38.2352941
"418","chrY_2262200"," 2262100",1,15,18,23.8095238,26.4705882
"10957","chrY_2263800"," 2263700",3,55,52,74.3243243,64.1975309
"4349","chrY_2263800"," 2263700",2,14,21,18.918919,25.9259259
"419","chrY_2263800"," 2263700",1,5,8,6.7567568,9.8765432
"10958","chrY_2263900"," 2263800",3,65,61,78.313253,84.7222222
"4350","chrY_2263900"," 2263800",2,14,9,16.8674699,12.5
"420","chrY_2263900"," 2263800",1,4,2,4.8192771,2.7777778
"10959","chrY_2264400"," 2264300",3,25,42,36.7647059,55.2631579
"4351","chrY_2264400"," 2264300",2,14,8,20.5882353,10.5263158
"421","chrY_2264400"," 2264300",1,29,26,42.6470588,34.2105263
"10960","chrY_2265700"," 2265600",3,31,46,55.3571429,61.3333333
"4352","chrY_2265700"," 2265600",2,19,21,33.9285714,28
"422","chrY_2265700"," 2265600",1,6,8,10.7142857,10.6666667
"10961","chrY_2273700"," 2273600",3,46,46,64.7887324,68.6567164
"4353","chrY_2273700"," 2273600",2,15,19,21.1267605,28.3582089
"423","chrY_2273700"," 2273600",1,10,2,14.084507,2.9850746
"10962","chrY_2274100"," 2274000",3,60,62,76.9230769,72.9411765
"4354","chrY_2274100"," 2274000",2,13,14,16.6666667,16.4705883
"424","chrY_2274100"," 2274000",1,5,9,6.4102564,10.5882353
"10963","chrY_2276100"," 2276000",3,26,40,61.9047619,57.1428571
"4355","chrY_2276100"," 2276000",2,11,28,26.1904762,40
"425","chrY_2276100"," 2276000",1,5,2,11.9047619,2.8571429
"10964","chrY_2276400"," 2276300",3,76,91,80,85.8490566
"4356","chrY_2276400"," 2276300",2,7,10,7.3684211,9.4339623
"426","chrY_2276400"," 2276300",1,12,5,12.6315789,4.7169811
"10965","chrY_2277400"," 2277300",3,16,20,21.9178082,19.2307692
"4357","chrY_2277400"," 2277300",2,38,60,52.0547945,57.6923077
"427","chrY_2277400"," 2277300",1,19,24,26.0273973,23.0769231
"10966","chrY_2280100"," 2280000",3,44,46,75.862069,77.9661017
"4358","chrY_2280100"," 2280000",2,14,13,24.137931,22.0338983
"10967","chrY_2280500"," 2280400",3,15,14,68.1818182,70
"4359","chrY_2280500"," 2280400",2,7,6,31.8181818,30
"10968","chrY_2282300"," 2282200",3,35,53,62.5,76.8115942
"4360","chrY_2282300"," 2282200",2,14,15,25,21.7391304
"428","chrY_2282300"," 2282200",1,7,1,12.5,1.4492754
"10969","chrY_2282700"," 2282600",3,13,23,68.4210526,71.875
"4361","chrY_2282700"," 2282600",2,6,9,31.5789474,28.125
"10970","chrY_2282800"," 2282700",3,12,30,50,76.9230769
"4362","chrY_2282800"," 2282700",2,9,6,37.5,15.3846154
"429","chrY_2282800"," 2282700",1,3,3,12.5,7.6923077
"10971","chrY_2283000"," 2282900",3,61,57,82.4324324,85.0746269
"4363","chrY_2283000"," 2282900",2,10,5,13.5135136,7.4626865
"430","chrY_2283000"," 2282900",1,3,5,4.0540541,7.4626866
"10972","chrY_2283200"," 2283100",3,66,51,97.0588235,86.440678
"4364","chrY_2283200"," 2283100",2,2,8,2.9411764,13.5593221
"10973","chrY_2283400"," 2283300",3,24,26,85.7142857,78.7878788
"4365","chrY_2283400"," 2283300",2,4,7,14.2857143,21.2121212
"10974","chrY_2283800"," 2283700",3,59,45,80.8219178,81.8181818
"4366","chrY_2283800"," 2283700",2,11,6,15.0684931,10.9090909
"431","chrY_2283800"," 2283700",1,3,4,4.109589,7.2727273
"10975","chrY_2283900"," 2283800",3,58,49,100,100
"10976","chrY_2285000"," 2284900",3,22,13,55,52
"4367","chrY_2285000"," 2284900",2,13,8,32.5,32
"432","chrY_2285000"," 2284900",1,5,4,12.5,16
"10977","chrY_2285600"," 2285500",3,25,17,100,100
"10978","chrY_2286300"," 2286200",3,11,19,100,100
"10979","chrY_2286400"," 2286300",3,7,13,19.4444444,33.3333333
"4368","chrY_2286400"," 2286300",2,11,4,30.5555556,10.2564103
"433","chrY_2286400"," 2286300",1,18,22,50,56.4102564
"10980","chrY_2286700"," 2286600",3,5,4,33.3333333,26.6666667
"4369","chrY_2286700"," 2286600",2,10,6,66.6666667,40
"434","chrY_2286700"," 2286600",1,0,5,0,33.3333333
"10981","chrY_2286900"," 2286800",3,2,6,15.3846154,40
"4370","chrY_2286900"," 2286800",2,11,9,84.6153846,60
"10982","chrY_2288500"," 2288400",3,11,10,100,100
"10983","chrY_2293100"," 2293000",3,31,42,50.8196721,53.8461538
"4371","chrY_2293100"," 2293000",2,17,21,27.8688525,26.9230769
"435","chrY_2293100"," 2293000",1,13,15,21.3114753,19.2307692
"10984","chrY_2293900"," 2293800",3,22,15,70.9677419,78.9473684
"4372","chrY_2293900"," 2293800",2,9,4,29.0322581,21.0526316
"10985","chrY_2294000"," 2293900",3,60,63,81.0810811,76.8292683
"4373","chrY_2294000"," 2293900",2,13,14,17.5675676,17.0731708
"436","chrY_2294000"," 2293900",1,1,5,1.3513514,6.097561
"10986","chrY_2295300"," 2295200",3,37,49,82.2222222,66.2162162
"4374","chrY_2295300"," 2295200",2,3,16,6.6666666,21.6216217
"437","chrY_2295300"," 2295200",1,5,9,11.1111111,12.1621622
"10987","chrY_2296800"," 2296700",3,47,45,83.9285714,66.1764706
"4375","chrY_2296800"," 2296700",2,8,20,14.2857143,29.4117647
"438","chrY_2296800"," 2296700",1,1,3,1.7857143,4.4117647
"10988","chrY_2297100"," 2297000",3,32,26,65.3061224,60.4651163
"4376","chrY_2297100"," 2297000",2,9,14,18.3673469,32.5581396
"439","chrY_2297100"," 2297000",1,8,3,16.3265306,6.9767442
"10989","chrY_2300200"," 2300100",3,18,30,41.8604651,53.5714286
"4377","chrY_2300200"," 2300100",2,23,24,53.488372,42.8571429
"440","chrY_2300200"," 2300100",1,2,2,4.6511628,3.5714286
"10990","chrY_2302800"," 2302700",3,34,13,87.1794872,48.1481481
"4378","chrY_2302800"," 2302700",2,5,14,12.8205129,51.8518518
"10991","chrY_2303900"," 2303800",3,13,18,68.4210526,60
"4379","chrY_2303900"," 2303800",2,6,7,31.5789474,23.3333333
"441","chrY_2303900"," 2303800",1,0,5,0,16.6666667
"10992","chrY_2304400"," 2304300",3,24,18,48.9795918,42.8571429
"4380","chrY_2304400"," 2304300",2,19,19,38.7755103,45.2380952
"442","chrY_2304400"," 2304300",1,6,5,12.244898,11.9047619
"10993","chrY_2309500"," 2309400",3,31,24,62,57.1428571
"4381","chrY_2309500"," 2309400",2,14,15,28,35.7142857
"443","chrY_2309500"," 2309400",1,5,3,10,7.1428571
"10994","chrY_2309600"," 2309500",3,41,44,78.8461538,95.6521739
"4382","chrY_2309600"," 2309500",2,11,2,21.1538461,4.3478261
"10995","chrY_2309800"," 2309700",3,10,7,50,36.8421053
"4383","chrY_2309800"," 2309700",2,10,12,50,63.1578948
"10996","chrY_2310400"," 2310300",3,6,6,75,60
"4384","chrY_2310400"," 2310300",2,2,4,25,40
"10997","chrY_2311500"," 2311400",3,54,43,75,65.1515152
"4385","chrY_2311500"," 2311400",2,8,12,11.1111111,18.1818182
"444","chrY_2311500"," 2311400",1,10,11,13.8888889,16.6666667
"10998","chrY_2312300"," 2312200",3,22,50,48.8888889,80.6451613
"4386","chrY_2312300"," 2312200",2,21,9,46.6666667,14.516129
"445","chrY_2312300"," 2312200",1,2,3,4.4444444,4.8387097
"10999","chrY_2313200"," 2313100",3,14,9,82.3529412,52.9411765
"4387","chrY_2313200"," 2313100",2,3,8,17.6470588,47.0588235
"11000","chrY_2313900"," 2313800",3,9,10,31.0344828,38.4615385
"4388","chrY_2313900"," 2313800",2,16,11,55.1724138,42.3076923
"446","chrY_2313900"," 2313800",1,4,5,13.7931034,19.2307692
"11001","chrY_2314000"," 2313900",3,32,22,100,100
"11002","chrY_2314300"," 2314200",3,69,81,86.25,81
"4389","chrY_2314300"," 2314200",2,10,16,12.5,16
"447","chrY_2314300"," 2314200",1,1,3,1.25,3
"11003","chrY_2314500"," 2314400",3,16,6,84.2105263,85.7142857
"4390","chrY_2314500"," 2314400",2,3,1,15.7894737,14.2857143
"11004","chrY_2314600"," 2314500",3,76,96,81.7204301,75
"4391","chrY_2314600"," 2314500",2,13,18,13.9784946,14.0625
"448","chrY_2314600"," 2314500",1,4,14,4.3010753,10.9375
"11005","chrY_2316500"," 2316400",3,30,29,81.0810811,72.5
"4392","chrY_2316500"," 2316400",2,7,11,18.9189189,27.5
"11006","chrY_2317000"," 2316900",3,42,48,63.6363636,80
"4393","chrY_2317000"," 2316900",2,20,9,30.3030303,15
"449","chrY_2317000"," 2316900",1,4,3,6.0606061,5
"11007","chrY_2326800"," 2326700",3,58,47,93.5483871,95.9183673
"4394","chrY_2326800"," 2326700",2,4,2,6.4516129,4.0816327
"11008","chrY_2327800"," 2327700",3,25,19,83.3333333,67.8571429
"4395","chrY_2327800"," 2327700",2,5,9,16.6666666,32.1428572
"11009","chrY_2330200"," 2330100",3,1,5,2.2727273,12.5
"4396","chrY_2330200"," 2330100",2,23,15,52.2727273,37.5
"450","chrY_2330200"," 2330100",1,20,20,45.4545455,50
"11010","chrY_2335200"," 2335100",3,42,31,80.7692308,83.7837838
"4397","chrY_2335200"," 2335100",2,10,6,19.2307693,16.2162162
"11011","chrY_2337000"," 2336900",3,38,35,80.8510638,68.627451
"4398","chrY_2337000"," 2336900",2,4,10,8.5106383,19.6078432
"451","chrY_2337000"," 2336900",1,5,6,10.6382979,11.7647059
"11012","chrY_2337600"," 2337500",3,35,37,76.0869565,82.2222222
"4399","chrY_2337600"," 2337500",2,2,8,4.3478261,17.7777778
"452","chrY_2337600"," 2337500",1,9,0,19.5652174,0
"11013","chrY_2339200"," 2339100",3,8,5,53.3333333,35.7142857
"4400","chrY_2339200"," 2339100",2,6,6,40,42.8571429
"453","chrY_2339200"," 2339100",1,1,3,6.6666667,21.4285714
"11014","chrY_2344300"," 2344200",3,23,16,76.6666667,80
"4401","chrY_2344300"," 2344200",2,7,4,23.3333334,20
"11015","chrY_2347800"," 2347700",3,27,24,72.972973,70.5882353
"4402","chrY_2347800"," 2347700",2,5,7,13.5135135,20.5882353
"454","chrY_2347800"," 2347700",1,5,3,13.5135135,8.8235294
"11016","chrY_2348000"," 2347900",3,54,45,77.1428571,88.2352941
"4403","chrY_2348000"," 2347900",2,12,4,17.1428571,7.8431372
"455","chrY_2348000"," 2347900",1,4,2,5.7142857,3.9215686
"11017","chrY_2348100"," 2348000",3,20,18,43.4782609,54.5454545
"4404","chrY_2348100"," 2348000",2,20,11,43.4782608,33.3333333
"456","chrY_2348100"," 2348000",1,6,4,13.0434783,12.1212121
"11018","chrY_2351800"," 2351700",3,32,43,65.3061224,82.6923077
"4405","chrY_2351800"," 2351700",2,17,9,34.6938776,17.3076923
"11019","chrY_2355400"," 2355300",3,36,47,65.4545455,71.2121212
"4406","chrY_2355400"," 2355300",2,15,15,27.2727273,22.7272728
"457","chrY_2355400"," 2355300",1,4,4,7.2727273,6.0606061
"11020","chrY_2355800"," 2355700",3,45,62,81.8181818,74.6987952
"4407","chrY_2355800"," 2355700",2,8,19,14.5454546,22.8915663
"458","chrY_2355800"," 2355700",1,2,2,3.6363636,2.4096386
"11021","chrY_2358500"," 2358400",3,24,45,53.3333333,67.1641791
"4408","chrY_2358500"," 2358400",2,15,18,33.3333333,26.8656717
"459","chrY_2358500"," 2358400",1,6,4,13.3333333,5.9701493
"11022","chrY_2358700"," 2358600",3,12,5,50,33.3333333
"4409","chrY_2358700"," 2358600",2,9,8,37.5,53.3333333
"460","chrY_2358700"," 2358600",1,3,2,12.5,13.3333333
"11023","chrY_2358900"," 2358800",3,60,35,78.9473684,74.4680851
"4410","chrY_2358900"," 2358800",2,15,8,19.7368421,17.0212766
"461","chrY_2358900"," 2358800",1,1,4,1.3157895,8.5106383
"11024","chrY_2360000"," 2359900",3,14,10,31.8181818,19.6078431
"4411","chrY_2360000"," 2359900",2,25,34,56.8181818,66.6666667
"462","chrY_2360000"," 2359900",1,5,7,11.3636364,13.7254902
"11025","chrY_2361000"," 2360900",3,16,14,100,100
"11026","chrY_2361100"," 2361000",3,36,52,90,92.8571429
"4412","chrY_2361100"," 2361000",2,4,4,10,7.1428571
"11027","chrY_2361500"," 2361400",3,43,40,87.755102,80
"4413","chrY_2361500"," 2361400",2,6,10,12.2448979,20
"11028","chrY_2361800"," 2361700",3,7,8,53.8461538,72.7272727
"4414","chrY_2361800"," 2361700",2,6,3,46.1538462,27.2727273
"11029","chrY_2362100"," 2362000",3,9,19,69.2307692,67.8571429
"4415","chrY_2362100"," 2362000",2,4,9,30.7692308,32.1428572
"11030","chrY_2362700"," 2362600",3,34,63,89.4736842,85.1351351
"4416","chrY_2362700"," 2362600",2,4,11,10.5263158,14.8648649
"11031","chrY_2362800"," 2362700",3,27,35,84.375,72.9166667
"4417","chrY_2362800"," 2362700",2,5,13,15.625,27.0833333
"11032","chrY_2363000"," 2362900",3,21,35,100,100
"11033","chrY_2363100"," 2363000",3,10,19,83.3333333,82.6086957
"4418","chrY_2363100"," 2363000",2,2,4,16.6666667,17.3913043
"11034","chrY_2363300"," 2363200",3,24,45,100,100
"11035","chrY_2363700"," 2363600",3,18,19,52.9411765,63.3333333
"4419","chrY_2363700"," 2363600",2,14,7,41.1764706,23.3333333
"463","chrY_2363700"," 2363600",1,2,4,5.8823529,13.3333333
"11036","chrY_2363900"," 2363800",3,9,9,75,90
